cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,2584,Hammersmith and Fulham
2,Burglary,3915,Hammersmith and Fulham
3,Drug Offences,1978,Hammersmith and Fulham
4,Miscellaneous Crimes Against Society,596,Hammersmith and Fulham
5,Possession of Weapons,349,Hammersmith and Fulham
6,Public Order Offences,2922,Hammersmith and Fulham
7,Robbery,1383,Hammersmith and Fulham
8,Sexual Offences,1068,Hammersmith and Fulham
9,Theft,12799,Hammersmith and Fulham
10,Vehicle Offences,6240,Hammersmith and Fulham
11,Violence Against the Person,10508,Hammersmith and Fulham
