cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,2193,Kensington and Chelsea
2,Burglary,3941,Kensington and Chelsea
3,Drug Offences,3049,Kensington and Chelsea
4,Miscellaneous Crimes Against Society,468,Kensington and Chelsea
5,Possession of Weapons,363,Kensington and Chelsea
6,Public Order Offences,2402,Kensington and Chelsea
7,Robbery,1480,Kensington and Chelsea
8,Sexual Offences,782,Kensington and Chelsea
9,Theft,15230,Kensington and Chelsea
10,Vehicle Offences,6186,Kensington and Chelsea
11,Violence Against the Person,8114,Kensington and Chelsea
