cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,1912,Kingston upon Thames
2,Burglary,2080,Kingston upon Thames
3,Drug Offences,995,Kingston upon Thames
4,Miscellaneous Crimes Against Society,304,Kingston upon Thames
5,Possession of Weapons,172,Kingston upon Thames
6,Public Order Offences,1532,Kingston upon Thames
7,Robbery,466,Kingston upon Thames
8,Sexual Offences,722,Kingston upon Thames
9,Theft,6821,Kingston upon Thames
10,Vehicle Offences,2860,Kingston upon Thames
11,Violence Against the Person,6314,Kingston upon Thames
