cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,2134,Richmond upon Thames
2,Burglary,3672,Richmond upon Thames
3,Drug Offences,654,Richmond upon Thames
4,Miscellaneous Crimes Against Society,259,Richmond upon Thames
5,Possession of Weapons,136,Richmond upon Thames
6,Public Order Offences,1502,Richmond upon Thames
7,Robbery,617,Richmond upon Thames
8,Sexual Offences,637,Richmond upon Thames
9,Theft,6167,Richmond upon Thames
10,Vehicle Offences,4660,Richmond upon Thames
11,Violence Against the Person,5674,Richmond upon Thames
